2010-05-24 15:06:26 Notice: Notice (8): Undefined property:  Dwoo::$Html in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/layouts/default.ctp.d17.php, line 25]
2010-06-09 11:37:08 Notice: Notice (8): Undefined variable: cars in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 15]
2010-06-09 13:58:10 Notice: Notice (8): Undefined property:  UserHelper::$User in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/user.php, line 16]
2010-06-09 13:58:10 Notice: Notice (8): Trying to get property of non-object in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/user.php, line 16]
2010-06-09 13:58:20 Notice: Notice (8): Undefined variable: user in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/user.php, line 16]
2010-06-09 13:58:25 Notice: Notice (8): Undefined variable: user in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/user.php, line 16]
2010-06-09 13:58:40 Notice: Notice (8): Undefined property:  WorkordersController::$Location in [/var/www/vhosts/vpsnet.dev/httpdocs/app_controller.php, line 40]
2010-06-09 13:58:41 Notice: Notice (8): Undefined property:  WorkordersController::$Location in [/var/www/vhosts/vpsnet.dev/httpdocs/app_controller.php, line 40]
2010-06-09 13:58:58 Notice: Notice (8): Undefined variable: user in [/var/www/vhosts/vpsnet.dev/httpdocs/app_controller.php, line 41]
2010-06-09 13:59:27 Notice: Notice (8): Undefined index:  User in [/var/www/vhosts/vpsnet.dev/httpdocs/app_controller.php, line 42]
2010-06-10 14:35:15 Notice: Notice (8): Undefined property:  WorkordersController::$Paginator in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 13]
2010-06-10 15:11:04 Notice: Notice (8): Undefined index:  yes in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/index.tpl.d17.php, line 21]
2010-06-10 16:30:24 Notice: Notice (8): Undefined index:  paginatior in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/index.tpl.d17.php, line 63]
2010-06-11 16:50:16 Notice: Notice (8): Undefined property:  OverviewController::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/app_controller.php, line 40]
2010-06-11 17:35:22 Notice: Notice (8): Undefined index:  Search in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 162]
2010-06-11 17:35:22 Notice: Notice (8): Undefined index:  Search in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 163]
2010-06-14 17:10:29 Notice: Notice (8): Undefined variable: conditions in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 201]
2010-06-14 17:10:29 Notice: Notice (8): Undefined variable: conditions in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 202]
2010-06-14 17:58:55 Notice: Notice (8): Undefined index:  datetime_required_from in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 158]
2010-06-14 17:58:55 Notice: Notice (8): Undefined index:  datetime_required_to in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 159]
2010-06-16 11:34:36 Notice: Notice (8): Undefined index:  date in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 55]
2010-06-16 11:34:50 Notice: Notice (8): Undefined index:  date in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 55]
2010-06-16 11:35:07 Notice: Notice (8): Undefined index:  date in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 55]
2010-06-16 16:50:25 Notice: Notice (8): Undefined index:  paginator in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/__clever/filters.tpl.d17.php, line 14]
2010-06-16 16:50:46 Notice: Notice (8): Undefined index:  pageCount in [/var/cake/libs/view/helpers/paginator.php, line 621]
2010-06-16 16:50:58 Notice: Notice (8): Undefined index:  pageCount in [/var/cake/libs/view/helpers/paginator.php, line 621]
2010-06-16 16:55:28 Notice: Notice (8): Undefined variable: workorders in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 44]
2010-06-16 16:55:28 Notice: Notice (8): Undefined variable: workorders in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 48]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 38]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  Department in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 39]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  AuthorisedByUser in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 40]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 105]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  Car in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 113]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  Car in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 115]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  Car in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 116]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 117]
2010-06-16 16:56:36 Notice: Notice (8): Undefined index:  Status in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 120]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 38]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  Department in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 39]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  AuthorisedByUser in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 40]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 105]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  Car in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 113]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  Car in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 115]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  Car in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 116]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 117]
2010-06-16 16:57:40 Notice: Notice (8): Undefined index:  Status in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 120]
2010-06-16 16:57:57 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 16:59:19 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 16:59:44 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:00:04 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:02:11 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:02:34 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:12:10 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:15:09 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:15:41 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:15:52 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:15:56 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:16:55 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-16 17:17:10 Notice: Notice (8): Undefined index:  Workorder in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/index.tpl.d17.php, line 36]
2010-06-17 16:27:09 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 280]
2010-06-17 16:40:47 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 280]
2010-06-17 16:54:17 Notice: Notice (8): Undefined index:  date_completed in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/view.tpl.d17.php, line 59]
2010-06-17 17:30:05 Notice: Notice (8): Undefined offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 318]
2010-06-17 17:30:05 Notice: Notice (8): Undefined offset:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 321]
2010-06-17 17:31:09 Notice: Notice (8): Undefined index:  makemodel_id in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 47]
2010-06-17 17:37:09 Notice: Notice (8): Undefined index:  makemodel_id in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 144]
2010-06-17 17:46:32 Notice: Notice (8): Undefined index:  Makemodel in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 297]
2010-06-17 17:53:28 Notice: Notice (8): Undefined property:  WorkordersController::$User in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 42]
2010-06-18 16:12:27 Notice: Notice (8): Undefined index:  year in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/complete.tpl.d17.php, line 33]
2010-06-18 16:12:27 Notice: Notice (8): Undefined index:  year in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/complete.tpl.d17.php, line 34]
2010-06-18 16:12:58 Notice: Notice (8): Undefined index:  year in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/complete.tpl.d17.php, line 33]
2010-06-18 16:13:29 Notice: Notice (8): Undefined index:  year in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/complete.tpl.d17.php, line 33]
2010-06-18 16:15:51 Notice: Notice (8): Undefined index:  pageCount in [/var/cake/libs/view/helpers/paginator.php, line 621]
2010-06-18 16:16:43 Notice: Notice (8): Undefined property:  OverviewController::$User in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 169]
2010-06-18 16:29:16 Notice: Notice (8): Undefined index:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/all.tpl.d17.php, line 10]
2010-06-18 16:29:22 Notice: Notice (8): Undefined index:  month in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/all.tpl.d17.php, line 10]
2010-06-18 16:29:22 Notice: Notice (8): Undefined index:  year in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/all.tpl.d17.php, line 10]
2010-06-18 16:31:41 Notice: Notice (8): Undefined index:  month in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/all.tpl.d17.php, line 10]
2010-06-18 16:31:41 Notice: Notice (8): Undefined index:  year in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/all.tpl.d17.php, line 10]
2010-06-18 16:34:51 Notice: Notice (8): Undefined index:  year in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/all.tpl.d17.php, line 10]
2010-06-18 16:43:54 Notice: Notice (8): Undefined index:  params in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/__clever/filters.tpl.d17.php, line 72]
2010-06-18 16:44:01 Notice: Notice (8): Undefined index:  controller in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/overview/__clever/filters.tpl.d17.php, line 72]
2010-06-18 16:44:07 Notice: Notice (8): Undefined property:  DwooView::$controller in [/var/www/vhosts/vpsnet.dev/httpdocs/vendors/dwoo/Dwoo.php, line 1217]
2010-06-21 11:18:59 Notice: Notice (8): Undefined index:  name in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/settings/index.tpl.d17.php, line 118]
2010-06-21 11:33:35 Notice: Notice (8): Undefined index:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/settings/index.tpl.d17.php, line 120]
2010-06-21 12:40:37 Notice: Notice (8): Undefined index:  UpdatedByUser in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/view.tpl.d17.php, line 113]
2010-06-21 12:41:58 Notice: Notice (8): Undefined index:  UpdatedByUser in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/view.tpl.d17.php, line 113]
2010-06-21 12:52:23 Notice: Notice (8): Undefined index:  data in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/ajax/update_car.tpl.d17.php, line 44]
2010-06-21 13:14:35 Notice: Notice (8): Undefined index:  before in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:14:35 Notice: Notice (8): Undefined index:  between in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:14:35 Notice: Notice (8): Undefined index:  after in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:14:35 Notice: Notice (8): Undefined index:  format in [/var/cake/libs/view/helpers/form.php, line 846]
2010-06-21 13:14:57 Notice: Notice (8): Undefined index:  before in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:14:57 Notice: Notice (8): Undefined index:  between in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:14:57 Notice: Notice (8): Undefined index:  after in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:14:57 Notice: Notice (8): Undefined index:  format in [/var/cake/libs/view/helpers/form.php, line 846]
2010-06-21 13:35:14 Notice: Notice (8): Undefined index:  before in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:35:14 Notice: Notice (8): Undefined index:  between in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:35:14 Notice: Notice (8): Undefined index:  after in [/var/cake/libs/view/helpers/form.php, line 843]
2010-06-21 13:35:14 Notice: Notice (8): Undefined index:  format in [/var/cake/libs/view/helpers/form.php, line 846]
2010-06-21 13:59:39 Notice: Notice (8): Undefined property:  DepartmentsController::$Department in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/departments_controller.php, line 11]
2010-06-21 16:45:00 Notice: Notice (8): Undefined index:  id in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/departments_controller.php, line 21]
2010-06-21 16:45:11 Notice: Notice (8): Undefined index:  id in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/departments_controller.php, line 21]
2010-06-21 17:21:21 Notice: Notice (8): Undefined property:  OrdertypesController::$Ordertype in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/ordertypes_controller.php, line 19]
2010-06-23 10:23:55 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 228]
2010-06-23 11:07:16 Notice: Notice (8): Undefined index:  date_completed in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/workorders/ajax/update_car.tpl.d17.php, line 122]
2010-06-23 14:57:12 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 228]
2010-06-23 14:58:49 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 228]
2010-06-23 15:02:08 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 228]
2010-06-23 15:02:11 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 228]
2010-06-23 15:02:25 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 228]
2010-06-23 15:03:39 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 230]
2010-06-23 15:03:47 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 230]
2010-06-23 15:04:36 Notice: Notice (8): Undefined index:  action in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/workorders_controller.php, line 230]
2010-06-23 15:37:36 Notice: Notice (8): Undefined index:  0 in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/settings/index.tpl.d17.php, line 122]
2010-06-23 17:05:41 Notice: Notice (8): Undefined property:  OverviewController::$AddonsWorkorder in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 42]
2010-06-23 17:14:41 Notice: Notice (8): Undefined index:  workorder_id in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 70]
2010-06-23 17:18:31 Notice: Notice (8): Undefined index:  cost in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 93]
2010-06-23 17:18:31 Notice: Notice (8): Undefined index:  charge in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 94]
2010-06-23 17:18:46 Notice: Notice (8): Undefined index:  cost in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 93]
2010-06-23 17:18:46 Notice: Notice (8): Undefined index:  charge in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 94]
2010-06-24 11:41:00 Notice: Notice (8): Array to string conversion in [/var/cake/libs/model/datasources/dbo_source.php, line 731]
2010-06-24 11:48:33 Notice: Notice (8): Undefined index:  user in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/users_controller.php, line 34]
2010-06-24 12:34:07 Notice: Notice (8): Undefined index:  ajax in [/var/www/vhosts/vpsnet.dev/httpdocs/tmp/dwoo/compile/var/www/vhosts/vpsnet.dev/httpdocs/views/settings/index.tpl.d17.php, line 109]
2010-06-24 12:35:12 Notice: Notice (8): Undefined property:  DwooView::$Js in [/var/www/vhosts/vpsnet.dev/httpdocs/vendors/dwoo/Dwoo.php, line 1217]
2010-06-24 14:29:10 Notice: Notice (8): Undefined index:  deactivate in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/settings_controller.php, line 22]
2010-06-24 16:38:38 Notice: Notice (8): Undefined property:  RoleHelper::$ROLE_SUPER in [/var/www/vhosts/vpsnet.dev/httpdocs/vendors/dwoo/Dwoo.php, line 1217]
2010-06-24 16:38:38 Notice: Notice (8): Undefined index:  Role in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 14]
2010-06-24 16:38:56 Notice: Notice (8): Undefined property:  RoleHelper::$ROLE_SUPER in [/var/www/vhosts/vpsnet.dev/httpdocs/vendors/dwoo/Dwoo.php, line 1217]
2010-06-24 16:38:56 Notice: Notice (8): Undefined index:  Role in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 14]
2010-06-24 16:39:35 Notice: Notice (8): Undefined property:  RoleHelper::$ROLE_SUPER in [/var/www/vhosts/vpsnet.dev/httpdocs/vendors/dwoo/Dwoo.php, line 1217]
2010-06-24 16:40:56 Notice: Notice (8): Undefined property:  RoleHelper::$ROLE_SUPER in [/var/www/vhosts/vpsnet.dev/httpdocs/vendors/dwoo/Dwoo.php, line 1217]
2010-06-24 16:41:24 Notice: Notice (8): Undefined property:  RoleHelper::$ROLE_SUPER in [/var/www/vhosts/vpsnet.dev/httpdocs/vendors/dwoo/Dwoo.php, line 1217]
2010-06-24 17:03:48 Notice: Notice (8): Undefined index:  role_id in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/users_controller.php, line 40]
2010-06-24 17:04:00 Notice: Notice (8): Undefined index:  role_id in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/users_controller.php, line 40]
2010-06-24 17:06:00 Notice: Notice (8): Undefined index:  role_id in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/users_controller.php, line 40]
2010-06-24 17:50:42 Notice: Notice (8): Undefined variable: text in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 27]
2010-06-24 17:50:53 Notice: Notice (8): Undefined offset:  5 in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 27]
2010-06-24 17:51:30 Notice: Notice (8): Undefined offset:  5 in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 30]
2010-06-24 17:52:18 Notice: Notice (8): Undefined offset:  5 in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 30]
2010-06-24 17:52:18 Notice: Notice (8): Undefined index:   in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 30]
2010-06-24 17:53:10 Notice: Notice (8): Undefined offset:  5 in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 32]
2010-06-24 17:53:27 Notice: Notice (8): Undefined offset:  5 in [/var/www/vhosts/vpsnet.dev/httpdocs/views/helpers/role.php, line 32]
2010-06-25 10:51:14 Notice: Notice (8): Undefined property:  OverviewController::$Role in [/var/www/vhosts/vpsnet.dev/httpdocs/controllers/overview_controller.php, line 11]
2010-06-25 10:52:13 Notice: Notice (8): Undefined property:  Role::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/models/role.php, line 45]
2010-06-25 10:52:37 Notice: Notice (8): Undefined property:  Role::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/models/role.php, line 46]
2010-06-25 10:56:04 Notice: Notice (8): Undefined property:  Role::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/models/role.php, line 46]
2010-06-25 11:02:09 Notice: Notice (8): Undefined property:  Role::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/models/role.php, line 46]
2010-06-25 11:02:43 Notice: Notice (8): Undefined variable: _SESSION in [/var/www/vhosts/vpsnet.dev/httpdocs/app_model.php, line 81]
2010-06-25 11:03:22 Notice: Notice (8): Undefined variable: _SESSION in [/var/www/vhosts/vpsnet.dev/httpdocs/app_model.php, line 81]
2010-06-25 11:05:45 Notice: Notice (8): Undefined property:  Role::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/models/role.php, line 46]
2010-06-25 11:07:06 Notice: Notice (8): Undefined property:  Role::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/models/role.php, line 46]
2010-06-25 11:07:07 Notice: Notice (8): Undefined property:  Role::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/models/role.php, line 46]
2010-06-25 11:07:35 Notice: Notice (8): Undefined property:  Role::$Session in [/var/www/vhosts/vpsnet.dev/httpdocs/models/role.php, line 46]
